Product Name,Brand,Price,Image URL,is_girly
Gillette Mach3 Men's Razor Blade Refills,Gillette,$15.29 - $45.49,https://target.scene7.com/is/image/Target/GUEST_a1b902e4-5b6c-4a63-b347-5f00aa484485?qlt=65&fmt=pjpeg&hei=350&wid=350,no
Athena Club Mini Razor - Trial Size - Super Pink,Athena Club,$12.19,https://target.scene7.com/is/image/Target/GUEST_f74abdb1-4ef1-48a7-bae2-e9ef34154a4b?qlt=65&fmt=pjpeg&hei=350&wid=350,yes
BiC Sensitive Disposable Razors - 12ct,BiC,$4.89,https://target.scene7.com/is/image/Target/GUEST_090d3708-bb3c-4327-9b46-4e9beee016db?qlt=65&fmt=pjpeg&hei=350&wid=350,no
Schick Hydro Silk 5 Sensitive Women Razor Blade Refills,Schick,$18.99 - $24.49,https://target.scene7.com/is/image/Target/GUEST_e63416c3-1f3a-4a01-a23f-d95faa8e724f?qlt=65&fmt=pjpeg&hei=350&wid=350,yes
Women's Five Blade FITS Cartridges 4ct - up&up™,up&up,$9.39,https://target.scene7.com/is/image/Target/GUEST_1d31fdcb-fc5b-4dbc-8f37-175a5c62fb3c?qlt=65&fmt=pjpeg&hei=350&wid=350,yes
"Athena Club Blade Refill, 4ct",Athena Club,$11.99,https://target.scene7.com/is/image/Target/GUEST_b8024bee-e8c8-408b-b809-38f1316115c3?qlt=65&fmt=pjpeg&hei=350&wid=350,no
BiC Soleil Smooth Colors 3-Blade Women's Disposable Razors,BiC,$11.49 - $11.89,https://target.scene7.com/is/image/Target/GUEST_717527ce-6bbc-446b-9089-43140998c430?qlt=65&fmt=pjpeg&hei=350&wid=350,yes
BiC Flex4 Titanium Sensitive Men's Disposable Razors - 3ct,BiC,$7.99,https://target.scene7.com/is/image/Target/GUEST_b8a722fd-d0d4-4503-b175-abef9c51e9dc?qlt=65&fmt=pjpeg&hei=350&wid=350,no
Venus Deluxe Smooth Sensitive Women's Razor Blade Refills,Venus,$39.89 - $55.99,https://target.scene7.com/is/image/Target/GUEST_6cc89708-2e02-4b8b-919d-ce5dadd7ecb3?qlt=65&fmt=pjpeg&hei=350&wid=350,yes
BiC Flex Refillable Razors - 1 Handle + 7 Razors,BiC,$15.89,https://target.scene7.com/is/image/Target/GUEST_c7bb267e-e92d-4466-8a65-b5467ee01f3d?qlt=65&fmt=pjpeg&hei=350&wid=350,no
Schick Skintimate Sensitive Skin Women's Disposable Razors - 4ct,Schick,$7.69,https://target.scene7.com/is/image/Target/GUEST_6e2237f6-69c6-44e3-b91c-1a428f9d6002?qlt=65&fmt=pjpeg&hei=350&wid=350,yes
Gillette SkinGuard Men's Razor Blade Refills - 4ct,Gillette,$18.99,https://target.scene7.com/is/image/Target/GUEST_b42de058-5b8d-4b85-bf10-71c22da8ccb4?qlt=65&fmt=pjpeg&hei=350&wid=350,no
Flamingo Pubic Women's Razor Blade Refill Cartridges - 4ct,Flamingo,$9.99,https://target.scene7.com/is/image/Target/GUEST_f463908e-6edc-4572-b7c9-f057cc842ed1?qlt=65&fmt=pjpeg&hei=350&wid=350,yes
Dollar Shave Club 6-Blade Men's Razor Starter Set - 1 Handle + 2 Cartridges,Dollar Shave Club,$11.49,https://target.scene7.com/is/image/Target/GUEST_e5dbba3e-d063-47ba-b7d5-8b4417c865ae?qlt=65&fmt=pjpeg&hei=350&wid=350,no
Harry's 5-Blade Men's Razor - 1 Razor Handle + 2 Razor Blade Refills - Ocean Blue,Harry's,$11.19,https://target.scene7.com/is/image/Target/GUEST_a7fd71a2-408b-4f8d-b5ac-3c1cd5da0b1b?qlt=65&fmt=pjpeg&hei=350&wid=350,no
Schick Hydro Silk Moisture Care with Shea Butter Razor with 2 Refill Blade Cartridges,Schick,$9.99,https://target.scene7.com/is/image/Target/GUEST_982c7b8a-0d8c-44cd-b6db-a64f66947dec?qlt=65&fmt=pjpeg&hei=350&wid=350,yes
Schick Hydro Sensitive Men's Razor Refills - 12ct,Schick,$26.99,https://target.scene7.com/is/image/Target/GUEST_3eb74670-3186-49aa-8d88-6c2458a85313?qlt=65&fmt=pjpeg&hei=350&wid=350,no
Dollar Shave Club 6-Blade Razor Refill - Compatible with 4 and 6 Blade Handles - 4ct,Dollar Shave Club,$11.49,https://target.scene7.com/is/image/Target/GUEST_518a4b6a-6898-41f7-9015-1fab1e1b4b34?qlt=65&fmt=pjpeg&hei=350&wid=350,no
Gillette Fusion5 Power Razor for Men - 1 Gillette Power Razor Handle + 2 Blade Refills,Gillette,$16.79,https://target.scene7.com/is/image/Target/GUEST_33e409a6-ab34-4d16-98ea-83a72279f117?qlt=65&fmt=pjpeg&hei=350&wid=350,no
King C. Gillette Men's Double Edge Safety Razor + 5 Refill Blades,Gillette,$25.99,https://target.scene7.com/is/image/Target/GUEST_3236611c-4baf-48c2-a4e9-735781c6712c?qlt=65&fmt=pjpeg&hei=350&wid=350,no
Harry's 5-Blade Men's Razor - 1 Razor Handle + 2 Razor Blade Refills - Sage Green,Harry's,$11.19,https://target.scene7.com/is/image/Target/GUEST_05a515fa-7903-40ba-8c9c-8ef46a26d93f?qlt=65&fmt=pjpeg&hei=350&wid=350,no
Venus Extra Smooth Sensitive Women's Disposable Razors - 2ct,Venus,$21.99,https://target.scene7.com/is/image/Target/GUEST_afa94875-5ab5-49d7-90c0-b9bafa5e1757?qlt=65&fmt=pjpeg&hei=350&wid=350,yes
Flamingo Facial Razors - Dermaplane - 3ct,Flamingo,$8.29,https://target.scene7.com/is/image/Target/GUEST_e80425b9-6e39-4d56-ba78-343453bb6b11?qlt=65&fmt=pjpeg&hei=350&wid=350,yes
"Athena 5-blade Women's Razor Kit - 1 Razor Handle, 2 Razor Blade Refills, Magnetic Hook",Athena Club,$19.99 - $22.19,https://target.scene7.com/is/image/Target/GUEST_a288d4ad-f942-4e96-a062-4c1b96cd3626?qlt=65&fmt=pjpeg&hei=350&wid=350,yes
"Schick Hydro Sensitive Razor Blade Refills – Men's Razor Refills, Razor Blades for Men - Trial Size – 6 Razor Refills",Schick,$18.99,https://target.scene7.com/is/image/Target/GUEST_4932d848-807a-4d23-8f77-fa8cbf2a5c57?qlt=65&fmt=pjpeg&hei=350&wid=350,no
Harry's Value Pack Non-Disposable Razor Handle - Orange - 6ct,Harry's,$17.99,https://target.scene7.com/is/image/Target/GUEST_23c5beae-146b-4f2c-b459-e3012b0ea30b?qlt=65&fmt=pjpeg&hei=350&wid=350,no
Schick Hydro Silk Sensitive Women's Disposable Razors - 3 ct,Schick,$22.39,https://target.scene7.com/is/image/Target/GUEST_e92a9eb0-6bd6-4346-a73d-8caa4aac9c22?qlt=65&fmt=pjpeg&hei=350&wid=350,yes
Gillette Daisy Women's Disposable Razors  - 12ct,Gillette,$17.79,https://target.scene7.com/is/image/Target/GUEST_794d3495-26f6-44cc-8352-1ef4c56cee91?qlt=65&fmt=pjpeg&hei=350&wid=350,yes
